"";"country";"Year";"GDP_per_capita";"life_expectancy";"population";"continent";"child_per_woman";"child_mortality";"health_spend";"maternal_mortality"
"1";"Afghanistan";1800;603;28,2;3280000;"Asia";7;469;NA;NA
"2";"Albania";1800;667;35,4;410000;"Europe";4,6;375;NA;NA
"3";"Algeria";1800;715;28,8;2500000;"Africa";6,99;460;NA;NA
"4";"Angola";1800;618;27;1570000;"Africa";6,93;486;NA;NA
"5";"Argentina";1800;1510;33,2;534000;"Americas";6,8;402;NA;NA
"6";"Australia";1800;814;34;351000;"Oceania";6,5;391;NA;NA
"7";"Austria";1800;1850;34,4;3210000;"Europe";5,1;387;NA;NA
"8";"Bahrain";1800;1240;30,3;64500;"Asia";7,03;440;NA;NA
"9";"Bangladesh";1800;876;25,5;19200000;"Asia";6,7;508;NA;NA
"10";"Belgium";1800;2410;40;3140000;"Europe";4,85;322;NA;NA
"11";"Benin";1800;597;31;637000;"Africa";5,55;430;NA;NA
"12";"Bolivia";1800;854;33;1100000;"Americas";6,48;405;NA;NA
"13";"Bosnia and Herzegovina";1800;669;35,1;852000;"Europe";5,91;379;NA;NA
"14";"Botswana";1800;397;33,6;121000;"Africa";6,47;397;NA;NA
"15";"Brazil";1800;1110;32;3640000;"Americas";6,26;417;NA;NA
"16";"Bulgaria";1800;1090;35,8;1990000;"Europe";5,16;370;NA;NA
"17";"Burkina Faso";1800;480;29,2;1670000;"Africa";6,03;455;NA;NA
"18";"Burundi";1800;418;31,5;899000;"Africa";6,8;424;NA;NA
"19";"Cambodia";1800;903;35;2090000;"Asia";6,95;380;NA;NA
"20";"Cameroon";1800;626;28,8;1860000;"Africa";5,54;460;NA;NA
"21";"Canada";1800;1310;39;646000;"Americas";5,72;333;NA;NA
"22";"Central African Republic";1800;424;30;479000;"Africa";6,51;444;NA;NA
"23";"Chad";1800;418;30,9;1430000;"Africa";6,06;432;NA;NA
"24";"Chile";1800;1030;32;771000;"Americas";5,98;417;NA;NA
"25";"China";1800;984;32;3,22e+08;"Asia";5,5;417;NA;NA
"26";"Colombia";1800;962;32;1210000;"Americas";6,19;417;NA;NA
"27";"Comoros";1800;696;32,1;56300;"Africa";6,01;416;NA;NA
"28";"Congo, Dem. Rep.";1800;485;31,6;5160000;"Africa";5,99;423;NA;NA
"29";"Congo, Rep.";1800;575;32,7;314000;"Africa";5,67;409;NA;NA
"30";"Costa Rica";1800;775;30,2;52000;"Americas";6,93;441;NA;NA
